ID|Kategori|SoruMetni|SecenekA|SecenekB|SecenekC|SecenekD|DogruCevap
466|O1|Mass Effect'te Asari ırkının özelliği nedir?|Cinsiyetsizdir|Robotlardır|Hepsi kadındır|Hepsi erkektir|C
467|O1|Dark Souls 3'ün son bossu kimdir?|Nameless King|Soul of Cinder|Gwyn|Lothric|B
468|O1|Persona serisinde canavarları yakalayınca ne olur?|Kaçarlar|Ölürler|Eşya verirler|Maske/Persona olur|D
469|O1|Tales of serisinin savaş sistemi nasıldır?|Taktiksel|Kartlı|Aksiyon (Linear Motion)|Sıra Tabanlı|C
470|O1|Ni no Kuni oyununun çizimleri kime aittir?|Toei|Pixar|Studio Ghibli|Disney|C
471|O1|Sea of Thieves'te gemi batınca ne olur?|Oyun biter|Karakter silinir|Hazine su yüzüne çıkar|Gemi uçar|C
472|O1|Slay the Spire'da her tur sonunda ne olur?|Para gelir|Can dolar|Kartlar atılır/yenilenir|Düşman ölür|C
473|O1|Don't Starve'da karanlıkta kalınca ne olur?|Canın dolar|Uyursun|Charlie saldırır ve ölürsün)|Sabah olur|C
474|O1|Subnautica'da oksijen bitince ne olur?|Hızlanırsın|Ekran kararır/Ölürsün|Yüzeye çıkarsın|Balık olursun|B
475|O1|Grim Dawn'da iki sınıfı birleştirince ne olur?|Mega Class|Dual Class|No Class|Super Class|B
476|O1|Titan Quest oyunu hangi mitolojileri işler?|Sadece Aztek|Sadece İskandinav|Yunan, Mısır, Asya|Sadece Roma|C
477|O1|Kingdom Come: Deliverance'da kayıt almak için ne içilir?|Saviour Schnapps|Su|Bira|Şarap|A
478|O1|GreedFall oyununda hangi adaya gidilir?|Atlantis|New World|Teer Fradee|Avalon|C
479|O1|Code Vein oyununda karakterler ne içer?|Süt|İksir|Su|Kan Boncukları|D
480|O1|Nioh oyununda ana karakter William kimdir?|Kral|Samuray olan bir İngiliz|Ninja|Keşiş|B
481|O1|Salt and Sanctuary oyununda din değiştirince ne olur?|Harita silinir|Oyun biter|Karakter ölür|Satıcılar/Eşyalar değişir|D
482|O1|Dragon Age: Inquisition'da ana karakterin lakabı?|Inquisitor|Hero|Warden|Champion|A
483|O1|Minecraft Dungeons ne tür bir oyundur?|Dungeon Crawler|İnşaat|Yarış|FPS|A
484|O1|Torchlight 2'de 'Embermage' ne kullanır?|Kılıç|Büyü|Tabanca|Yay|B
485|O1|Loop Hero'da oyuncu neyi kontrol eder?|Düşmanları|Karakteri|Çevreyi/Kartları|Zamanı|C
486|O1|Inscryption oyununda kartlar neyle konuşur?|Sesli|Telepatiyle|Yazılarla|Gözleri ve dişleriyle|D
487|O1|Darkest Dungeon'da meşale biterse ne olur?|Görünmez olursun|Karakterler uyur|Oyun biter|Stres artar/Canavarlar güçlenir|D
488|O1|Octopath Traveler kaç karakterin hikayesini anlatır?|8|4|10|6|A
489|O1|Fire Emblem serisinde karakter ölürse ne olur?|Geri gelmez|Kaçar|Hastaneye gider|Bölüm sonunda dirilir|A
490|O1|Xenoblade Chronicles'ta karakterler nerede yaşar?|Yeraltında|Gezegende|Uzay gemisinde|Devlerin üzerinde|D
491|O1|Paper Mario oyununda karakterler neyden yapılmıştır?|Taştan|Kağıttan|Plastikten|Etten|B
492|O1|Mario & Luigi RPG serisinde savaşlar nasıldır?|Otomatik|Sadece izlemeli|FPS|Sıra tabanlı ve zamanlamalı|D
493|O1|Child of Light oyununda diyaloglar nasıldır?|Japonca|Tersten|Sessiz|Şiirsel/Kafiyeli|D
494|O1|Transistor oyununda kılıç ne yapar?|Donar|Konuşur|Uçar|Yanar|B
495|O1|Bastion oyununda hikayeyi kim anlatır?|Dış Ses|Kimse|Düşman|Karakter|A
496|O1|Pyre oyununda özgürlük için ne yapılır?|Bulmaca çözülür|Yarışılır|Savaşılır|Ayin/Maç yapılır|D
497|O1|Genshin Impact'te 'Archon'lar neyi temsil eder?|Canavarları|Element Tanrılarını|Silahları|Kralları|B
498|O1|Honkai: Star Rail oyununda trenin adı nedir?|Space Bus|Star Ship|Astral Express|Galaxy Train|C
499|O1|Baldur's Gate 3'te 'Astarion' aslında nedir?|Vampir|Büyücü|Kurtadam|İblis|A
500|O1|Cyberpunk 2077'de 'Braindance' nedir?|Başkalarının anısını yaşama|Dans etme|Silah|Hackerlık|A
501|O1|Final Fantasy serisinin ikonik sarı kuşunun adı nedir?|Moogle|Cactuar|Chocobo|Tonberry|C
502|O1|The Witcher 3'te Ciri'yi seslendiren kişi aslında kimdir?|Doug Cockle|Charles Dance|Jo Wyatt|Henry Cavill|C
503|O1|Skyrim'de 'Arrow to the knee' repliği ne anlama gelir?|Yaralanmak|Evlenmek|Savaşmak|Ölmek|B
504|O1|Fallout'ta 'Brotherhood of Steel' neyi savunur?|Ticari serbestliği|Mutantları|Demokrasiyi|Teknolojiyi korumayı|D
505|O1|Mass Effect'te Krogan ırkını kısır bırakan hastalığın adı?|Virus|Plague|Blight|Genophage|D
506|O1|Elden Ring'deki Malenia'nın meşhur repliği nedir?|I am Malenia, blade of Miquella|Praise the sun|Let me solo her|You died|A
507|O1|Diablo 2'de 'Tyrael' aslında nedir?|Başmelek|İblis|İnsan|Büyücü|A
508|O1|World of Warcraft'ta 'Azeroth' nedir?|Bir kılıç|Bir karakter|Bir büyü|Oyunun geçtiği gezegen|D
509|O1|Dragon Age 2'nin ana karakterinin adı nedir?|Warden|Shepard|Hawke|Inquisitor|C
510|O1|Baldur's Gate 3'teki Githyanki savaşçısı kimdir?|Karlach|Gale|Lae'zel|Shadowheart|C
511|O1|Cyberpunk 2077'de V'nin başlangıçta en yakın arkadaşı kimdir?|Jackie Welles|Johnny Silverhand|Panam|Judy|A
512|O1|Hangi RPG'de 'Pawn' sistemiyle yoldaş kiralanır?|Skyrim|Zelda|Witcher|Dragon's Dogma|D
513|O1|Persona 4'teki gizemli dünyanın adı nedir?|Midnight Channel|Dark Hour|Metaverse|TV World|A
514|O1|Kingdom Hearts'ta Sora'nın en iyi arkadaşları kimlerdir?|Cloud ve Tifa|Riku ve Kairi|Donald ve Goofy|Mickey ve Minnie|B
515|O1|Stardew Valley'de evlenmek için ne verilir?|Mermaid's Pendant|Altın|Çiçek|Pırlanta|A
516|O1|Undertale'de 'Toriel' bizi nerede karşılar?|Ruins|Snowdin|Waterfall|Hotland|A
517|O1|Hangi oyun serisinde 'Vampire Hunter D' benzeri şapkalı avcılar vardır?|Sekiro|Dark Souls|Elden Ring|Bloodborne|D
518|O1|Disco Elysium'da kafamızın içindeki sesler neyi temsil eder?|Anıları|Düşmanları|Yeteneklerimizi|Tanrıları|C
519|O1|Tales of Arise'da Alphen'in yüzünde ne vardır?|Boya|Yara İzi|Demir Maske|Dövme|C
520|O1|Star Wars: KOTOR'da Sith Lordu Darth Malak'ın neyi yoktur?|Kolu|Bacağı|Çenesi|Gözleri|C
521|O1|Mass Effect 2'nin başında Shepard'a ne olur?|Ölür ve diriltilir|Terfi alır|Emekli olur|Hapse girer|A
522|O1|Fallout 3'te babamızı seslendiren ünlü aktör kimdir?|Harrison Ford|Morgan Freeman|Liam Neeson|Sean Connery|C
523|O1|The Elder Scrolls IV: Oblivion hangi bölgede geçer?|Morrowind|Cyrodiil|Skyrim|High Rock|B
524|O1|Genshin Impact'te 'Traveler'ın aradığı kişi kimdir?|İkiz kardeşi|Babası|Annesi|Sevgilisi|A
525|O1|Chrono Trigger'da ana karakter Crono konuşur mu?|Sadece savaşta bağırır|Evet, çok konuşur|Şarkı söyler|Hayır, konuşmaz|D
526|O1|Final Fantasy VI'nın ana kötüsü Kefka neye benzer?|Robota|Ejderhaya|Palyaçoya|Şövalyeye|C
527|O1|NieR: Automata'nın yönetmeni kimdir?|Shigeru Miyamoto|Hidetaka Miyazaki|Yoko Taro|Hideo Kojima|C
528|O1|Hades'te silahlarımıza güç veren şeyler nedir?|Paralar|Ruhlar|Tanrıların Lütufları (Boons)|Taşlar|C
529|O1|Divinity: Original Sin 2'de 'Fane' karakteri aslında nedir?|İskelet|Cüce|İnsan|Elf|A
530|O1|Vampire: The Masquerade - Bloodlines hangi şehirde geçer?|London|New York|Los Angeles|Paris|C
531|O1|South Park: The Fractured But Whole ne temalıdır?|Uzaylılar|Süper Kahramanlar|Büyücüler|Kovboylar|B
532|O1|Yakuza 0'da Goro Majima'nın lakabı nedir?|Tiger of Kamurocho|Koi of Osaka|Mad Dog of Shimano|Dragon of Dojima|C
533|O1|Pokemon'da başlangıçta kaç Pokemon seçeneği sunulur?|3|1|2|4|A
534|O1|Fire Emblem: Three Houses'da kaç tane ana hane vardır?|2|5|4|3|D
535|O1|Dark Souls 1'de Solaire neyi arar?|Prensesi|Kılıcını|Kendi Güneşini|Kralı|C
536|O1|Bloodborne'da avın başladığı gecenin adı nedir?|The Dark Night|The Long Night|The Blood Night|The Night of the Hunt|D
537|O1|Sekiro'da ana karakterin kolu nasıldır?|Normal|Yok|Metal|Protez|D
538|O1|Dragon's Dogma 2'de 'Pawn'lar neye karşı zayıftır?|Suya|Büyüye|Elektriğe|Ateşe|A
539|O1|Baldur's Gate serisi hangi şehirde geçer?|Icewind Dale|Waterdeep|Neverwinter|Baldur's Gate|D
540|O1|Planescape: Torment'teki uçan kurukafanın adı nedir?|Bob|Murray|Skully|Morte|D
541|O1|Icewind Dale oyunları neye odaklanır?|Romantizm|İnşaat|Diyalog ve Hikaye|Zindan ve Savaş|D
542|O1|Neverwinter Nights'ı geliştiren firma hangisidir?|BioWare|Square Enix|Blizzard|Bethesda|A
543|O1|Grim Dawn hangi oyun motorunu kullanır?|Unity|Source|Unreal Engine|Titan Quest motoru|D
544|O1|Titan Quest'te karakter sınıfı nasıl belirlenir?|İki ustalığı birleştirerek|Silah seçerek|Irk seçerek|Doğuştan|A
545|O1|Torchlight oyununu kimler yapmıştır?|Valve|Blizzard|Ubisoft|Eski Diablo yapımcıları|D
546|O1|Path of Exile'da para birimi nedir?|Altın|Elmas|Gümüş|Orb'lar|D
547|O1|Warframe'de 'Lotus' kimdir?|Düşman|Bize rehberlik eden kişi|Gemi kaptanı|Silah satıcısı|B
548|O1|Destiny 2'deki ana düşman ırklardan biri?|Zombies|Orcs|Elves|Fallen|D
549|O1|Anthem oyununun uçuş mekaniği neye benzetilir?|Batman'e|Örümcek Adam'a|Superman'e|Iron Man'e|D
550|O1|The Division'da virüs nasıl yayılmıştır?|Suyla|Para üzerinden|Havayla|Yemekle|B
551|O1|Borderlands 2'nin ikonik kötü adamı kimdir?|Steele|Tyreen|General Knoxx|Handsome Jack|D
552|O1|The Outer Worlds hangi firmanın oyunudur?|Obsidian|BioWare|EA|Bethesda|A
553|O1|Wasteland serisi hangi oyunun atası sayılır?|Tetris|Doom|Sims|Fallout|D
554|O1|Sea of Stars oyunu hangi klasiğe saygı duruşudur?|Zelda|Chrono Trigger|Mario|Final Fantasy|B
555|O1|Octopath Traveler'ın görsel tarzına ne denir?|Cartoon|HD-2D|3D Realism|Pixel Art|B
556|O1|Live A Live oyununda kaç farklı zaman dilimi vardır?|8|1|12|3|A
557|O1|Triangle Strategy ne tür bir oyundur?|Yarış|Aksiyon RPG|FPS|Taktiksel RPG|D
558|O1|Bravely Default oyununun savaş mekaniği nedir?|Kart seçme|Zar atma|Sıra biriktirme|Sadece Saldırı|C
559|O1|Xenoblade Chronicles 2'deki kılıç kadın kimdir?|Pyra/Mythra|Nia|Melia|Fiora|A
560|O1|Paper Mario: The Thousand-Year Door ne zaman çıktı (Remake hariç)?|NES döneminde|Switch döneminde|GameCube döneminde|Wii döneminde|C
561|O1|Mario & Luigi: Superstar Saga hangi konsola çıkmıştı?|Switch|DS|Game Boy Advance|3DS|C
562|O1|Super Mario RPG'de Mario'ya kim yardım eder?|Link ve Zelda|Wario ve Waluigi|Sonic ve Tails|Geno ve Mallow|D
563|O1|EarthBound'un (Mother 2) batıda çıkmayan devamı hangisidir?|EarthBound 2|Mother 3|Mother 1|Mother 4|B
564|O1|Undertale'in müziklerini kim yapmıştır?|Nobuo Uematsu|Akira Yamaoka|Koji Kondo|Toby Fox|D
565|O1|Deltarune'un ana karakteri kimdir?|Frisk|Chara|Kris|Sans|C
566|O1|Omori oyununda ana karakterin alter egosunun adı?|Omori|Basil|Kel|Sunny|A
567|O1|Lisa: The Painful oyununda dünyada ne yoktur?|Kadınlar|Hayvanlar|Erkekler|Çocuklar|A
568|O1|Yume Nikki ne tür bir oyundur?|Aksiyon|Yarış|Sürrealist Keşif/Korku|Spor|C
569|O1|Fear & Hunger oyununda kaybetmek ne kadar kolaydır?|İmkansız|Normal|Zor|Çok kolay (Uzuv kopması dahil)|D
570|O1|Hylics oyununun grafikleri nasıl yapılmıştır?|3D modelle|Çizimle|Pikselle|Kil ile|D
571|O1|Citizen Sleeper oyununda neyi yönetiriz?|Bir orduyu|Bir yapay bedeni|Bir şehri|Bir gemiyi|B
572|O1|In Stars and Time oyununda neye sıkışırız?|Rüyaya|Zaman Döngüsüne|Hücreye|Asansöre|B
573|O1|Sea of Stars'ta 'Solstice Warriors' ne kullanır?|Silah|Ok ve Yay|Güneş ve Ay büyüsü|Kılıç ve Kalkan|C
574|O1|Chained Echoes oyununda savaşlarda neyi dengeleriz?|Canı|Overdrive Barını|Zamanı|Manayı|B
575|O1|CrossCode oyununun ana karakteri Lea ne diyebilir?|Her şeyi|Sadece 'Hi', 'Lea', 'Bye'|Şarkı|Hiçbir şeyi|B
576|O1|Eiyuden Chronicle: Hundred Heroes neyin ruhani devamıdır?|Final Fantasy|Persona|Suikoden|Chrono Trigger|C
577|O1|Star Ocean serisinin teması nedir?|Kovboy|Sadece Orta Çağ|Uzay ve Fantastik karışımı|Sadece Gelecek|C
578|O1|Valkyrie Profile oyununda Valkyrie ne yapar?|Ölen savaşçıların ruhunu toplar|Savaşır|Yemek yapar|Uçuş öğretir|A
579|O1|Grandia oyununun en sevilen özelliği nedir?|Zorluğu|Grafikleri|Müzikleri|Savaş sistemi|D
580|O1|Skies of Arcadia oyununda ne kullanırız?|Araba|Uçan Gemiler|At|Denizaltı|B
581|O1|Legend of Dragoon hangi konsolun efsanesidir?|Xbox|PlayStation 1|N64|Sega Saturn|B
582|O1|Parasite Eve oyununda düşmanlar nedir?|Hayaletler|Zombiler|Uzaylılar|Mitokondri mutasyonları|D
583|O1|Vagrant Story oyununda ne yoktur?|Müzik|Dükkanlar|Diyalog|Savaş|B
584|O1|Xenogears oyununda ne kullanırız?|Büyü|Kılıç|Tank|Dev robotlar|D
585|O1|Suikoden II'nin kötü adamı kimdir?|Ganon|Sephiroth|Luca Blight|Kefka|C
586|O1|Final Fantasy Tactics hangi dünyada geçer?|Ivalice|Spira|Eorzea|Gaia|A
587|O1|Tactics Ogre: Let Us Cling Together ne türdedir?|Taktiksel RPG|Yarış|Dövüş|FPS|A
588|O1|Disgaea serisinde maksimum seviye kaçtır (genelde)?|100|9999|99|50|B
589|O1|Dragon Quest serisinin maskotu olan mavi damla şeklindeki canavar nedir?|Chimera|Slime|Golem|Dragon|B
590|O1|Shin Megami Tensei serisinde iblisleri ne yaparız?|Yemek yaparız|Satarız|İkna edip takıma alırız|Sadece öldürürüz|C
591|O1|Persona 3'te Persona çağırmak için ne yaparlar?|Kart kırarlar|Kafalarına silah dayarlar|Maske takarlar|Dans ederler|B
592|O1|Soul Hackers 2 hangi evrende geçer?|Persona|Shin Megami Tensei/Devil Summoner|Dragon Quest|Final Fantasy|B
593|O1|Etrian Odyssey serisinde ne yapmak zorunludur?|Şarkı söylemek|Yemek yemek|Hızlı koşmak|Haritayı elle çizmek|D
594|O1|Dark Cloud oyununda zindanlardan ne toplarız?|Para|Silah|Yemek|Şehir parçaları|D
595|O1|Rogue Galaxy oyununda korsanlar nerede gezer?|Uzayda|Denizde|Karada|Havada|A
596|O1|White Knight Chronicles'ta neye dönüşürüz?|Araca|Dev Şövalyeye|Ejderhaya|Kuşa|B
597|O1|Ni no Kuni 2'de ne yönetiriz?|Krallık|Gemi|Okul|Mağaza|A
598|O1|Tales of Vesperia'nın ana karakteri kimdir?|Lloyd Irving|Velvet Crowe|Luke fon Fabre|Yuri Lowell|D
599|O1|Eternal Sonata oyunu kimin rüyasında geçer?|Mozart|Frederic Chopin|Bach|Beethoven|B
600|O1|Lost Odyssey oyununun hikayelerini kim yazmıştır?|Tolkien|George R.R. Martin|Hideo Kojima|Kiyoshi Shigematsu|D
601|O2|CS2'de C4 bombası kurulduktan kaç saniye sonra patlar?|45|30|35|40|D
602|O2|Bioshock Infinite'de gökyüzündeki şehrin adı nedir?|Rapture|Columbia|Eden|Skyloft|B
603|O2|Call of Duty: MW2'deki (2009) tartışmalı havalimanı görevi hangisidir?|Turbulence|No Russian|Clean House|All Ghillied Up|B
604|O2|Half-Life'da Gordon Freeman'ın çalıştığı tesisin adı nedir?|Aperture Science|Black Mesa|Umbrella Corp|Area 51|B
605|O2|Halo serisinin ana karakteri Master Chief'in kod numarası kaçtır?|343|007|117|099|C
606|O2|Doom Slayer'ın intikam aldığı tavşanının adı nedir?|Snowball|Bunny|Lola|Daisy|D
607|O2|Dishonored oyununda Corvo Attano'ya özel güçleri kim verir?|The Outsider|The Empress|Daud|Emily|A
608|O2|Far Cry 3'teki kötü adam Vaas'ın meşhur repliği nedir?|Why so serious?|Did I ever tell you the definition of insanity?|I am the one who knocks|Say my name|B
609|O2|Wolfenstein: The New Order'da Naziler neyi kazanmıştır?|1. Dünya Savaşı'nı|Soğuk Savaşı|2. Dünya Savaşı'nı|Uzay Yarışını|C
610|O2|Metro 2033 oyununda para birimi olarak ne kullanılır?|Ruble|Askeri Mermi|Altın|Şişe Kapağı|B
611|O2|Half-Life 2'deki yer çekimi silahının asıl adı nedir?|Zero Point Energy Field Manipulator|Physics Gun|Crowbar 2.0|Portal Device|A
612|O2|Prey (2017) oyununda uzay istasyonunun adı nedir?|Citadel|Omega|Alpha|Talos I|D
613|O2|Apex Legends evreni hangi oyun serisiyle aynıdır?|Titanfall|Borderlands|Destiny|Halo|A
614|O2|Deus Ex: Human Revolution'ın ana karakteri kimdir?|JC Denton|Adam Jensen|Alex D|Gordon Freeman|B
615|O2|F.E.A.R. oyunundaki psişik güçleri olan korkunç kızın adı?|Samara|Esther|Regan|Alma Wade|D
616|O2|Call of Duty'deki Captain Price'ın ikonik şapkası nedir?|Helmet|Beret|Boonie Hat|Cap|C
617|O2|Crysis oyununda giydiğimiz zırhın adı nedir?|Nanosuit|Power Armor|Exoskeleton|MJOLNIR|A
618|O2|BioShock Infinite oyununda bize eşlik eden kızın adı?|Ellie|Sarah|Anna|Elizabeth|D
619|O2|Left 4 Dead 2'de 'Witch'i ne tetikler?|Ateş|Zıplamak|Koşmak|Işık ve yakınlık|D
620|O2|Metro serisinde yüzeye çıkarken ne takmak zorundayız?|Gözlük|Gaz Maskesi|Kask|Eldiven|B
621|O2|Wolfenstein ana karakteri B.J. Blazkowicz'in lakabı?|Doom Guy|Big Joe|Terror Billy|Nazi Hunter|C
622|O2|Far Cry 3'teki Vaas'ın kız kardeşinin adı nedir?|Elena|Liza|Citra|Daisy|C
623|O2|CS2'de tek bir turda 5 kişiyi vurmaya ne denir?|Ace|Strike|Penta|Clutch|A
624|O2|Titanfall 2'deki yoldaş robotumuzun adı nedir?|BT-7274|R2-D2|Chappie|Wall-E|A
625|O2|Overwatch'ta 'Heroes Never Die!' repliği kime aittir?|Mercy|Lucio|Ana|Moira|A
626|O2|Destiny 2'de oyunculara güç veren dev kürenin adı?|The Traveler|The Ghost|The Orb|The Light|A
627|O2|Borderlands'in maskot robotu Claptrap neyden nefret eder?|Kapılardan|Silahlardan|İnsanlardan|Merdivenlerden|D
628|O2|System Shock 2'deki kötü yapay zekanın adı nedir?|GLaDOS|Cortana|SHODAN|HAL 9000|C
629|O2|Rainbow Six Siege'de 'Fuze' karakteri nereye bomba atar?|Drona|Yere|Duvar/Zemin arkasına|Havaya|C
630|O2|Rage oyununda dünyaya ne çarpmıştır?|Göktaşı (Apophis)|Uzay Gemisi|Ay|Güneş|A
631|O2|CoD: Black Ops 'Zombies' modunun ilk haritası?|Five|Kino der Toten|Origins|Nacht der Untoten|D
632|O2|S.T.A.L.K.E.R. oyunları nerede geçer?|Area 51|Sibirya|Çernobil Bölgesi (The Zone)|Fukuşima|C
633|O2|Crysis oyununda 'Cloak Engaged' sesi ne anlama gelir?|Zırh Açıldı|Güç Açıldı|Hız Açıldı|Görünmezlik Açıldı|D
634|O2|Half-Life: Opposing Force oyununda kimi yönetiriz?|Gordon Freeman|Barney|Adrian Shephard|Alyx|C
635|O2|Doom (1993) oyunundaki ölümsüzlük şifresi nedir?|IDDQD|IDKFA|GODMODE|NOCLIP|A
636|O2|Singularity oyununda hangi cihazı kullanırız?|Gravity Gun|TMD (Time Manipulation Device)|Portal Gun|Nano Glove|B
637|O2|Escape from Tarkov'da 'PMC' ne anlama gelir?|Prime Mission Control|Player Main Character|Public Map Center|Private Military Company|D
638|O2|Bulletstorm oyununda puan kazanmak için ne yapmalıyız?|Hızlı bitirmeliyiz|Yaratıcı ve vahşi öldürmeliyiz|Gizli gitmeliyiz|Hiç hasar almamalıyız|B
639|O2|CS2'de 'AWP' silahı bacağa ne kadar hasar vurur?|85 civarı|70|50|100|A
640|O2|The Darkness oyununda Jackie Estacado'ya ne musallat olur?|Karanlık|Bir hayalet|Bir iblis|Uzaylı bir parazit|A
641|O2|Overwatch karakteri Winston ne tür bir hayvandır?|Genetiği değiştirilmiş Goril|İnsan|Maymun|Ayı|A
642|O2|Alien: Isolation oyununda kimden saklanıyoruz?|Predator|Xenomorph|Terminator|Zombiler|B
643|O2|Spec Ops: The Line oyunu nerede geçer?|Dubai|Kabil|New York|Bağdat|A
644|O2|CS2'de sadece 'Kevlar' fiyatı ne kadardır?|700$|650$|500$|1000$|B
645|O2|Homefront oyunu hangi ülkenin işgalini konu alır?|Rusya|Çin|Kuzey Kore|Almanya|C
646|O2|Call of Duty: Warzone'da ölenlerin gittiği yer neresidir?|Lobi|Gulag|Hapishane|Hastane|B
647|O2|Bioshock 1'de Andrew Ryan'ı kim öldürür?|Atlas|Big Daddy|Little Sister|Jack|D
648|O2|Quake 3 Arena'da 'Excellent' madalyası nasıl alınır?|Havadayken vurarak|Ölmeden durarak|Kısa sürede 2 kişiyi vurarak|Bıçaklayarak|C
649|O2|Unreal Tournament'ta 'Godlike' serisi kaç kişidir?|10|15|20|25|D
650|O2|Prey (2006) oyununda ana karakter Tommy kimdir?|Bir asker|Kızılderili bir tamirci|Bir polis|Bir ajan|B
651|O2|Valorant'ta Phoenix'in ultisi ne işe yarar?|Ölürse geri döner|Can basar|Uçar|Duvar örer|A
652|O2|Rainbow Six Siege hangi oyun motorunu kullanır?|AnvilNext 2.0|Unreal Engine|Source|Unity|A
653|O2|CS2 haritası 'Dust 2' hangi ülkeyi andırır?|İtalya|Amerika|Rusya|Fas/Orta Doğu|D
654|O2|Portal oyununda 'Portal Gun' ne ateşler?|Lazer|Mermi|Roket|Turuncu ve Mavi Portallar|D
655|O2|Team Fortress 2'de 'Medic' karakteri nerelidir?|Amerika|Rusya|Fransa|Almanya|D
656|O2|Payday 2'de oyuncuyu tekmeleyip yıkan polis biriminin adı nedir?|Taser|Dozer|Sniper|Cloaker|D
657|O2|Hunt: Showdown oyununda ana amaç nedir?|Bounty alıp kaçmak|Bayrak kapmak|Alan korumak|Herkesi öldürmek|A
658|O2|Arma 3 oyunu ne tür bir FPS'tir?|Askeri Simülasyon|Bilim Kurgu|Korku|Arcade|A
659|O2|Call of Juarez serisi hangi temadadır?|Uzay|Vahşi Batı (Western)|2. Dünya Savaşı|Gelecek|B
660|O2|CS2'de 'Decoy' bombası ne işe yarar?|Kör eder|Duman yayar|Sahte silah sesi çıkarır|Yakar|C
661|O2|Call of Duty'de 'UAV' (İHA) ne işe yarar?|Bomba atar|Silah verir|Helikopter çağırır|Düşmanları radarda gösterir|D
662|O2|Far Cry 5'teki tarikatın lideri kimdir?|Vaas|Pagan Min|Joseph Seed|Anton Castillo|C
663|O2|Halo'daki düşman uzaylı ittifakının adı nedir?|The Covenant|Locust|The Flood|Reapers|A
664|O2|Doom Eternal'da 'Glory Kill' yapınca ne düşer?|Mermi|Zırh|Silah|Can|D
665|O2|Superhot oyununun temel mekaniği nedir?|Sen hareket edince zaman akar|Herkes tek yer|Mermiler seker|Silahlar konuşur|A
666|O2|Metro Exodus'ta Artyom ve ekibinin kullandığı trenin adı nedir?|Aurora|Polar Express|Metro|Locomotive|A
667|O2|CS2'de 'Eco Round' ne demektir?|AFK kalmak|Hücum etmek|Tam techizat almak|Para biriktirmek için az harcamak|D
668|O2|Rainbow Six Siege'de 'Doc' ne yapar?|Zırh dağıtır|Kamera izler|Tuzak kurar|Stim Pistol ile iyileştirir|D
669|O2|Metroid Prime serisindeki Samus Aran nedir?|Kadın Ödül Avcısı|Robot|Erkek Asker|Uzaylı|A
670|O2|Prey (2017) oyununda düşmanlar (Mimic) ne yapar?|Görünmez olur|Uçar|Işınlanır|Eşya kılığına girer|D
671|O2|Dying Light'ın geçtiği kurgusal şehrin adı nedir?|Harran|Raccoon City|Silent Hill|Los Santos|A
672|O2|CS2'de 'Galil AR' hangi takıma özeldir?|Terörist (T)|İki Tarafa da|Anti-Terörist (CT)|Yasaklı|A
673|O2|CoD: Black Ops'ta Alex Mason'ı sorgulayan kimdir?|Bowman|Woods|Reznov|Jason Hudson|D
674|O2|Far Cry 4'teki Pagan Min hangi ülkenin kralıdır?|Kyrat|Hope County|Rook Islands|Yara|A
675|O2|Serious Sam'in en büyük düşmanı kimdir?|Satan|Diablo|Mental|Ganon|C
676|O2|Dying Light oyununda geceleri çıkan avcı zombi?|Volatile|Tank|Runner|Witch|A
677|O2|Painkiller oyununda düşmanlar nedir?|Uzaylılar|Şeytanlar ve canavarlar|Zombiler|Robotlar|B
678|O2|CS2'de Molotof kaç saniye yanar?|7 Saniye|10 Saniye|5 Saniye|15 Saniye|A
679|O2|Rainbow Six Siege'de 'Thatcher' ne kullanır?|Sis Bombası|Gaz Bombası|EMP Bombası|El Bombası|C
680|O2|Overwatch'ta D.Va'nın robotunun adı nedir?|Titan|Atlas|MEKA|Goliath|C
681|O2|Halo halkaları aslında ne için yapılmıştır?|Portal açmak için|Enerji üretmek için|Gezegenleri yok etmek için|Flood parazitini aç bırakmak için|D
682|O2|Duke Nukem'ın meşhur repliği nedir?|Fatality|Snake? Snake!|War never changes|Hail to the king, baby|D
683|O2|Shadow Warrior oyununun ana karakteri kimdir?|Lo Wang|Duke Nukem|Serious Sam|Doomguy|A
684|O2|CS2'de 'Tec-9' hangi takımın tabancasıdır?|Anti-Terörist (CT)|Yasaklı|İki Tarafın|Terörist (T)|D
685|O2|Killzone oyunu hangi düşmanlara karşıdır?|Chimera|Helghast|Covenant|Locust|B
686|O2|Resistance serisinde düşman kimdir?|Chimera|Robotlar|Naziler|Zombiler|A
687|O2|Destiny'de 'Hunter' sınıfının özelliği nedir?|Çeviklik ve Hız|Büyü ve Şifa|Uçuş|Defans ve Güç|A
688|O2|Bioshock'ta 'Plazmid'leri kullanmak için ne gerekir?|Mana|Stamina|EVE|Gold|C
689|O2|CS2'de 'Wallbang' ne demektir?|Duvara tırmanmak|Merminin duvardan geçmesi|Duvardan sekmek|Duvarı yıkmak|B
690|O2|Rainbow Six Siege'de 'Rook' takıma ne verir?|Silah Çantası|Mermi Çantası|Can Çantası|Armor Pack|D
691|O2|Battlefield 1 hangi savaşı konu alır?|2. Dünya Savaşı|Körfez Savaşı|1. Dünya Savaşı|Vietnam Savaşı|C
692|O2|Team Fortress 2'de 'Pyro' dünyayı nasıl görür?|Şeker ve Gökkuşağı|Karanlık|Kızılötesi|Normal|A
